Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
FSF1,YOR271C,Q12029,Putative protein; predicted to be an alpha-isopropylmalate carrier; belongs to the sideroblastic-associated protein family; non-tagged protein is detected in purified mitochondria; likely to play a role in iron homeostasis,0.21,0.07,0.22,,,X,,0,0,0.94,,X,,,,,,94%
FSH1,YHR049W,P38777,Putative serine hydrolase; localizes to both the nucleus and cytoplasm; sequence is similar to S. cerevisiae Fsh2p and Fsh3p and the human candidate tumor suppressor OVCA2,14.26,2.89,2.45,,,,X,0,0,0,,,,,,,,0%
FUM1,YPL262W,P08417,"Fumarase; converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria",18.62,22.24,0.47,X,,,,0.98,0,0,,,,X,,,,98%
FUN14,YAL008W,P18411,Mitochondrial protein of unknown function,0.36,0.09,0.17,,,X,,0,0,0.96,X,,,,,,,96%
FYV4,YHR059W,P38783,Protein of unknown function; required for survival upon exposure to K1 killer toxin,12.61,9.25,0,X,,,,0.94,0,0,,,,X,,,,94%
FYV8,YGR196C,P46949,Protein of unknown function; required for survival upon exposure to K1 killer toxin,20.57,--,##,X,,,,0,0,0,,,,X,,,,0%
FZO1,YBR179C,P38297,Mitofusin; integral membrane protein involved in mitochondrial outer membrane tethering and fusion; role in mitochondrial genome maintenance; efficient tethering and degradation of Fzo1p requires an intact N-terminal GTPase domain; targeted for destruction by the ubiquitin ligase SCF-Mdm30p and the cytosolic ubiquitin-proteasome system,0.38,0.29,0.14,,,X,,0,0,0.97,X,,,,,,,97%
GAS1,YMR307W,P22146,"Beta-1,3-glucanosyltransferase; required for cell wall assembly and also has a role in transcriptional silencing; localizes to cell surface via a glycosylphosphatidylinositol (GPI) anchor; also found at nuclear periphery; genetic interactions with histone H3 lysine acetyltransferases GCN5 and SAS3 indicate previously unsuspected functions for Gas1 in DNA damage response and cell cycle regulation",0.47,0.12,0.72,,,X,,0,0,0.94,,X,,,,,,94%
GAS3,YMR215W,Q03655,"Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance, possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation",0.62,0.67,0.18,,,X,,0,0,0.89,,X,,,,,,89%
GAS5,YOL030W,Q08193,"1,3-beta-glucanosyltransferase; has similarity to Gas1p; localizes to the cell wall",0.81,0.64,0.63,,,X,,0,0,0.75,,X,,,,,,75%
GCV1,YDR019C,P48015,"T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm",26.71,26.27,0.51,X,,,,0.94,0,0,,,,X,,,,94%
GCV2,YMR189W,P49095,"P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm",14.89,10.59,0.45,X,,,,0.96,0,0,,,,X,,,,96%
GCV3,YAL044C,P39726,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",19.87,25.29,0.29,X,,,,0.97,0,0,,,,X,,,,97%
GDH2,YDL215C,P33327,NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis,0.57,4.84,84.19,,X,,,0,0.86,0.06,,X,,,,,,86%
GDI1,YER136W,P39958,GDP dissociation inhibitor; regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4/Ypt/rab family of GTP binding proteins,2.67,2.62,29.75,,,,X,0,0,0,,,,,,,,0%
GEM1,YAL048C,P39722,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases",0.28,3.07,0.19,,,X,,0,0.51,0.33,X,,,,,,,51%
GEP3,YOR205C,Q08622,Protein required for mitochondrial ribosome small subunit biogenesis; null mutant is defective in respiration and in maturation of 15S rRNA; protein is localized to the mitochondrial inner membrane; null mutant interacts synthetically with prohibitin (Phb1p),0.59,6.06,0,,X,,,0,0.93,0.02,,X,,,,,,93%
GEP4,YHR100C,P38812,"Mitochondrial phosphatidylglycerophosphatase (PGP phosphatase); dephosphorylates phosphatidylglycerolphosphate to generate phosphatidylglycerol, an essential step during cardiolipin biosynthesis; null mutant is sensitive to tunicamycin, DTT",0.7,10.45,0,,X,,,0,0.97,0,,X,,,,,,97%
GEP5,YLR091W,Q12393,Protein of unknown function; required for mitochondrial genome maintenance; detected in highly purified mitochondria in high-throughput studies; null mutant has decreased levels of cardiolipin and phosphatidylethanolamine,0.6,6.96,0,,X,,,0,0.95,0.01,,X,,,,,,95%
GEP7,YGL057C,P53171,"Protein of unknown function; null mutant exhibits a respiratory growth defect and synthetic interactions with prohibitin (phb1) and gem1; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.23,0.14,0,,,X,,0,0,0.96,,X,,,,,,96%
GGC1,YDL198C,P38988,Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family,0.21,0.14,0.31,,,X,,0,0,0.96,,X,,,,,,96%
GLC7,YER133W,P32598,"Type 1 serine/threonine protein phosphatase catalytic subunit; cleavage and polyadenylation factor (CPF) component; involved in various processes including glycogen metabolism, sporulation, mitosis; accumulates at mating projections by interaction with Afr1p; interacts with many regulatory subunits; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; import into nucleus is inhibited during spindle assembly checkpoint arrest",1.33,1.02,55.9,,,,X,0,0,0.12,,,,,,,,12%
GLE1,YDL207W,Q12315,"Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination",0.46,10.1,0.44,,X,,,0,0.96,0.01,,X,,,,,,96%
GLK1,YCL040W,P17709,"Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication",0.48,2.93,58.32,,,,X,0,0.36,0.46,,,,,,,,46%
GLO4,YOR040W,Q12320,"Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication",5.84,4.75,1.04,,,,X,0.16,0,0,,,,,,,,16%
GLR1,YPL091W,P41921,Cytosolic and mitochondrial glutathione oxidoreductase; converts oxidized glutathione to reduced glutathione; cytosolic Glr1p is the main determinant of the glutathione redox state of the mitochondrial intermembrane space; mitochondrial Glr1p has a role in resistance to hyperoxia; protein abundance increases in response to DNA replication stress,13.08,9.45,0.9,X,,,,0.94,0,0,,,,X,,,,94%
GND1,YHR183W,P38720,"6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication",2.35,3.26,13.18,,,,X,0,0.03,0,,,,,,,,3%
GOR1,YNL274C,P53839,"Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress",11.17,0.49,253.32,,,,X,0,0,0,,,,,,,,0%
GPA1,YHR005C,P08539,Subunit of the G protein involved in pheromone response; GTP-binding alpha subunit of the heterotrimeric G protein; negatively regulates the mating pathway by sequestering G(beta)gamma and by triggering an adaptive response; activates Vps34p at the endosome; protein abundance increases in response to DNA replication stress,0.24,1.09,0.43,,,X,,0,0,0.9,,X,,,,,,90%
GPA2,YER020W,P10823,"Nucleotide binding alpha subunit of the heterotrimeric G protein; interacts with the receptor Gpr1p, has signaling role in response to nutrients; required for the recruitment of Ras-GTP at the plasma membrane and in the nucleus",0.28,0.71,7.55,,,X,,0,0,0.95,,X,,,,,,95%
GPD2,YOL059W,P41911,"NAD-dependent glycerol 3-phosphate dehydrogenase; expression is controlled by an oxygen-independent signaling pathway required to regulate metabolism under anoxic conditions; located in cytosol and mitochondria; constitutively active but is inactivated via phosphorylation by energy-stress responsive kinase SNF1; GPD2 has a paralog, GPD1, that arose from the whole genome duplication",0.38,6.58,1.28,,X,,,0,0.93,0.02,,X,,,,,,93%
GPM1,YKL152C,P00950,Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis,9.29,15.21,33.34,X,,,,0.98,0,0,,,X,,,,,98%
GPT2,YKR067W,P36148,Glycerol-3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis; the most conserved motifs and functionally relevant residues are oriented towards the ER lumen,0.4,0.21,3.01,,,X,,0,0,0.97,X,,,,,,,97%
GPX2,YBR244W,P38143,Phospholipid hydroperoxide glutathione peroxidase; protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress; induced by glucose starvation; protein abundance increases in response to DNA replication stress,4.03,4.68,0,,,,X,0.08,0.02,0,,,,,,,,8%
GRE1,YPL223C,Q08969,"Hydrophilin essential in desiccation-rehydration process; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway; GRE1 has a paralog, SIP18, that arose from the whole genome duplication",7.68,7.79,##,X,,,,0.88,0,0,,,,X,,,,88%
GRE3,YHR104W,P38715,"Aldose reductase; involved in methylglyoxal, d-xylose, arabinose, and galactose metabolism; stress induced (osmotic, ionic, oxidative, heat shock, starvation and heavy metals); regulated by the HOG pathway; protein abundance increases in response to DNA replication stress",10.04,3.52,5.7,,,,X,0.01,0,0,,,,,,,,1%
GRS1,YBR121C,P38088,"Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication",0.98,6.5,5.38,,X,,,0,0.93,0,,X,,,,,,93%
GRX2,YDR513W,P17695,"Cytoplasmic glutaredoxin; thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress; GRX2 has two in-frame start codons resulting in a shorter isoform that is retained in the cytosol and a longer form translocated to the mitochondrial matrix; GRX2 has a paralog, GRX1, that arose from the whole genome duplication",10.39,13.85,3.04,X,,,,0.98,0,0,,,,X,,,,98%
GRX5,YPL059W,Q02784,Glutathione-dependent oxidoreductase; hydroperoxide and superoxide-radical responsive; mitochondrial matrix protein involved in the synthesis/assembly of iron-sulfur centers; monothiol glutaredoxin subfamily member along with Grx3p and Grx4p,9.59,20.34,0.29,X,,,,0.98,0.01,0,,,,X,,,,98%
GSF2,YML048W,Q04697,"Endoplasmic reticulum (ER) localized integral membrane protein; may promote secretion of certain hexose transporters, including Gal2p; involved in glucose-dependent repression",0.34,0.56,6.99,,,X,,0,0,0.96,X,,,,,,,96%
GTF1,YGR102C,P53260,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; transposon insertion mutant is salt sensitive and null mutant has growth defects; non-tagged protein is detected in purified mitochondria,3.58,2.46,0,,,,X,0,0,0,,,,,,,,0%
GTT1,YIR038C,P40582,"ER associated glutathione S-transferase capable of homodimerization; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p",0.91,11.11,11.8,,X,,,0,0.97,0,X,,,,,,,97%
GUF1,YLR289W,P46943,Mitochondrial matrix GTPase; associates with mitochondrial ribosomes; important for translation under temperature and nutrient stress; may have a role in translational fidelity; similar to bacterial LepA elongation factor,0.26,4.87,0,,X,,,0,0.86,0.06,,X,,,,,,86%
GUK1,YDR454C,P15454,Guanylate kinase; converts GMP to GDP; required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins,5.74,3.81,7.12,,,,X,0.02,0,0,,,,,,,,2%
GUT1,YHL032C,P32190,Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p,1.74,3.23,3.79,,,,X,0,0.1,0.01,,,,,,,,10%
GUT2,YIL155C,P32191,"Mitochondrial glycerol-3-phosphate dehydrogenase; expression is repressed by both glucose and cAMP and derepressed by non-fermentable carbon sources in a Snf1p, Rsf1p, Hap2/3/4/5 complex dependent manner",0.55,18.09,0.55,,X,,,0,0.94,0,X,X,X,,,,,94%
GVP36,YIL041W,P40531,"BAR domain protein that localizes to early and late Golgi vesicles; required for adaptation to varying nutrient concentrations, fluid-phase endocytosis, polarization of the actin cytoskeleton, and vacuole biogenesis",2.36,6.88,25.85,,,,X,0.08,0.63,0,,,,,,,,63%
HAL9,YOL089C,Q12180,"Putative transcription factor containing a zinc finger; overexpression increases salt tolerance through increased expression of the ENA1 (Na+/Li+ extrusion pump) gene while gene disruption decreases both salt tolerance and ENA1 expression; HAL9 has a paralog, TBS1, that arose from the whole genome duplication",15.07,--,##,X,,,,0,0,0,,,,X,,,,0%
HBN1,YCL026C-B,Q96VH4,Protein of unknown function; similar to bacterial nitroreductases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; protein becomes insoluble upon intracellular iron depletion; protein abundance increases in response to DNA replication stress,10.02,4.66,0.5,,,,X,0.15,0,0,,,,,,,,15%
HBT1,YDL223C,Q07653,"Shmoo tip protein, substrate of Hub1p ubiquitin-like protein; mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis; HBT1 has a paralog, YNL195C, that arose from the whole genome duplication",2.28,3.63,##,,,,X,0,0.07,0,,,,,,,,7%
HEM1,YDR232W,P09950,5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p,2.54,10.7,0.1,,X,,,0.19,0.71,0,,X,,,,,,71%
HEM14,YER014W,P40012,"Protoporphyrinogen oxidase; a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX; inhibited by diphenyl ether-type herbicides",0.48,4.89,0.46,,X,,,0,0.87,0.06,,X,,,,,,87%
HEM15,YOR176W,P16622,"Ferrochelatase; a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway",1.33,19.89,0.48,,X,,,0,0.97,0,,X,,,,,,97%
HER1,YOR227W,Q12276,"Protein of unknown function; required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments; HER1 has a paralog, GIP3, that arose from the whole genome duplication",3.31,12.72,18,X,,,,0.55,0.39,0,,,,X,,,,55%
